Designator,Mid X,Mid Y,Layer,Rotation
C1,-4.200000,-1.800000,top,180.000000
C2,-9.075000,9.900000,top,180.000000
C3,13.100000,-3.700000,top,0.000000
C4,-11.450000,-8.900000,top,-90.000000
C5,-6.600000,11.575000,top,90.000000
C6,12.000000,5.300000,top,180.000000
C7,-2.400000,13.400000,top,90.000000
C8,11.000000,-1.400000,top,180.000000
C9,-1.800000,-10.800000,top,90.000000
C10,11.000000,-6.000000,top,180.000000
C11,-13.600000,0.000000,top,180.000000
C12,-3.950000,13.400000,top,90.000000
C13,-4.175000,-3.400000,top,180.000000
C14,-4.175000,-10.600000,top,180.000000
C15,-4.100000,-15.600000,top,0.000000
D21,-4.887500,-13.100000,top,180.000000
D26,2.100000,13.700000,top,0.000000
D27,7.200000,0.400000,top,180.000000
J1,0.000000,-21.500000,top,0.000000
Q1,-8.737500,-10.400000,top,180.000000
Q2,-3.775000,9.800000,top,90.000000
Q3,-3.625000,-6.200000,top,90.000000
Q4,9.062500,8.200000,top,0.000000
Q5,3.600000,-0.262500,top,-90.000000
R1,-0.712500,-2.800000,top,0.000000
R2,-2.000000,-14.200000,top,90.000000
R3,-3.200000,-8.800000,top,180.000000
R4,-1.000000,-7.600000,top,-90.000000
R5,2.200000,-7.050000,top,90.000000
R6,0.600000,-6.950000,top,90.000000
R7,3.600000,11.000000,top,90.000000
R8,-2.000000,5.700000,top,90.000000
R9,8.600000,5.200000,top,0.000000
R10,-0.600000,-1.200000,top,0.000000
R11,6.200000,10.400000,top,90.000000
R12,3.600000,2.200000,top,0.000000
R13,0.800000,11.000000,top,180.000000
R14,7.400000,-1.600000,top,0.000000
SW1,-8.230000,-4.300000,top,-90.000000
SW2,-8.230000,4.520000,top,-90.000000
U1,0.800000,-11.650000,top,90.000000
U2,2.880000,6.550000,top,180.000000
U3,0.200000,1.800000,top,90.000000
